id,tweet,cleanTweets
1501,Is Social Media Killing School Dances? http://nbcnews.to/1hiKTbz,is social media killing school dances
1502,Defective Cochlear Implants Shocked Kids - Even After Warnings http://nbcnews.to/1hiKSVj,defective cochlear implants shocked kids even after warnings
1503,Should Children Be Able to Use Medical Marijuana? http://nbcnews.to/1ggMc8I,should children be able to use medical marijuana
1504,Graco Expands Child Seat Recall http://nbcnews.to/1kooxZe,graco expands child seat recall
1505,"Heads in the Sand: Experts, Victims Testify About Concussion http://nbcnews.to/1goEPAv",heads in the sand experts victims testify about concussion
1506,"Tot, 3, Cracks Cell Phone Password, Saves Pregnant Mom http://nbcnews.to/1goEQEt",tot number cracks cell phone password saves pregnant mom
1507,3-year-old Hailed as Hero for Saving Pregnant Mom With 911 Call http://nbcnews.to/PxXrVj,number year old hailed as hero for saving pregnant mom with number call
1508,"HPV Test Can Replace Pap, FDA Advisers Say http://nbcnews.to/PxXrVd",hpv test can replace pap fda advisers say
1509,Drexel Death Tied to Strain Behind Outbreaks http://nbcnews.to/PxXrEW,drexel death tied to strain behind outbreaks
1510,Doctors Document Rare Woman-To-Woman HIV Case http://nbcnews.to/1nniZmr,doctors document rare woman to woman hiv case
1511,Popular 'Study' Pills No Better Than Coffee http://nbcnews.to/1cXmExc,popular study pills no better than coffee
1512,Simple tips to treat your child’s fever http://on.today.com/1nnj1dS,simple tips to treat your child s fever
1513,Where are the germiest places in your kitchen? http://on.today.com/1nnj1dO,where are the germiest places in your kitchen
1514,FDA Chief Defends Approval of Controversial Painkiller http://nbcnews.to/O6SVfv,fda chief defends approval of controversial painkiller
1515,"I 'Got My Body Back' After Baby, and Hated It http://nbcnews.to/1evQZ6o",i got my body back after baby and hated it
1516,Cookbook Author Paula Wolfert Is A Warrior  http://nbcnews.to/O6STUI,cookbook author paula wolfeis a warrior
1517,Infographic: Americans Say Sugar Is More Harmful Than Marijuana http://nbcnews.to/1oPBLy7,infographic americans say sugar is more harmful than marijuana
1518,Child War Survivor to Syria's Children: Don't Give Up http://nbcnews.to/1iE8NDY,child war survivor to syrias children do not give up
1519,Refugee Worker Cares for Syria's Orphans http://nbcnews.to/O3XtTI,refugee worker cares for syrias orphans
1520,Grieving the Unknown: Families of the Missing Face Painful Limbo http://nbcnews.to/1gaF9OT,grieving the unknown families of the missing face painful limbo
1521,Families of the Missing Face Painful Limbo http://nbcnews.to/1lXopTm,families of the missing face painful limbo
1522,Lifetime Battle: Kids' Struggles Don't End When the War Is Over http://nbcnews.to/1lXosOU,lifetime battle kids struggles do not end when the war is over
1523,Drexel Student Dies From Meningococcal Infection http://nbcnews.to/1lXopCY,drexel student dies from meningococcal infection
1524,Slightly Higher Blood Pressure Linked to Stroke Risk  http://nbcnews.to/1lXosyq,slightly higher blood pressure linked to stroke risk
1525,U.S. Health Care System Has $5.6 Billion Security Problem http://nbcnews.to/1gakL0d,us health care system has money billion security problem
1526,Healthy New Hybrid: Meet the BrusselKale http://nbcnews.to/1cRPK6J,healthy nehybrid meet the brusselkale
1527,Gel Might Protect Women From HIV Even After Sex http://nbcnews.to/1gakJWi,gel might protect women from hiv even after sex
1528,Firm That Manages Dental Clinics for Kids Excluded From Medicaid  http://nbcnews.to/1esCQa8,firm that manages dental clinics for kids excluded from medicaid
1529,RT @NBCNews: .@DrNancyNBCNews about to visit refugee camp school on live webcast. Questions? Ask using #SyriasChildren http://t.co/kg1EIjge…,about to visit refugee camp school on live webcast questions ask using syrias children
1530,Number of Young Adults on ADHD Drugs Soars http://nbcnews.to/PttFBa,number of young adults on adhd drugs soars
1531,Chain of Dental Clinics for Kids Excluded from Medicaid  http://nbcnews.to/PttHc3,chain of dental clinics for kids excluded from medicaid
1532,"Resilient Syrian Children Find Play, Laughter http://nbcnews.to/1nLZPmM",resilient syrian children find play laughter
1533,"Resilient #SyriasChildren Find Play, Laughter http://nbcnews.to/1lWcW6p",resilient syrias children find play laughter
1534,"Dr. Nancy: Almost 38,000 Syrian Babies Born as Refugees http://nbcnews.to/Pt7eMp",dr nancy almost number syrian babies born as refugees
1535,Surprise: Doctor Says iPads May Be OK For Babies http://nbcnews.to/OlB1pa,surprise doctor says ipads may be ok for babies
1536,"Slimming sammies! Ab-friendly turkey wrap, chicken salad, tuna melt http://on.today.com/OlisBm",slimming sammies ab friendly turkey wrap chicken salad tuna melt
1537,Quiz! Do mashed potatoes or sweet potatoes have fewer calories?  http://on.today.com/1ft3yUy,quiz do mashed potatoes or sweet potatoes have fewer calories
1538,Answers for the comfort food quiz  http://on.today.com/1ft3x2W,answers for the comfofood quiz
1539,Dr. Nancy Snyderman: Many Birth Defects Seen in Syrian Newborns http://nbcnews.to/OkFY1e,dr nancy snyderman many birth defects seen in syrian newborns
1540,7-year-old Cancer Patient To Receive Experimental Drug http://nbcnews.to/1dOnZtH,number year old cancer patient to receive experimental drug
1541,Hospital Warns 1000s of Patients About Tainted Insulin http://nbcnews.to/1niogLW,hospital warns number number number 0s of patients about tainted insulin
1542,Twins' Fate Highlights Heartbreak of Syria http://nbcnews.to/1iylvUy,twins fate highlights heartbreak of syria
1543,"About 7 Million Americans Have New Hips, Knees http://nbcnews.to/N4J74l",about number million americans have nehips knees
1544,FDA Approves New Device to Prevent Migraines http://nbcnews.to/1lTuq3l,fda approves nedevice to prevent migraines
1545,Debunked: Cohabitating Couples Not More Likely to Divorce http://nbcnews.to/1lTs0lr,debunked cohabitating couples not more likely to divorce
1546,"Bioethicist: #SaveJosh? Maybe, but What About the Rest? http://nbcnews.to/1epyZe2",bioethicist save josh maybe but what about the rest
1547,Young Girl Suffers From Never-Ending Hunger http://nbcnews.to/1nHmeBD,young girl suffers from never ending hunger
1548,No Last-Minute Health Insurance Pile-On Yet http://nbcnews.to/1oJTUgT,no last minute health insurance pile on yet
1549,When Thigh Gaps Attack: Target's Photoshop Fail Goes Viral http://nbcnews.to/1ephp9S,when thigh gaps attack targets photoshop fail goes viral
1550,Why Adoption Isn't the Answer for Syria's Children http://nbcnews.to/1ephmep,why adoption is not the answer for syrias children
1551,RT @DrNancyNBCNEWS: NICU w/ sick babies. I saw more birth defects in last few days than in my entire pediatric residency #SyriasChildren ht…,nicu sick babies i samore birth defects in last fedays than in my entire pediatric residency syrias children 
1552,Adoption Not the Answer for Syria's Children http://nbcnews.to/1nFWJAT,adoption not the answer for syrias children
1553,First Case of Polio Suspected Among Syrian Refugees in Lebanon http://nbcnews.to/1lSjSkY,first case of polio suspected among syrian refugees in lebanon
1554,Tommy John Surgery Doesn't Boost Performance: Study http://nbcnews.to/NWvDZN,tommy john surgery does not boost performance study
1555,"Dr. Nancy Snyderman: Crowded Hospital, but Where Will They Go? http://nbcnews.to/1h9c4Wm",dr nancy snyderman crowded hospital but where will they go
1556,"More Body Fat Raises Ovarian Cancer Risk, Study Suggests http://nbcnews.to/1ggo6zp",more body fat raises ovarian cancer risk study suggests
1557,"Snag a Spouse At College? No Way, Parents Say http://nbcnews.to/1ivzRoS",snag a spouse at college no way parents say
1558,Children Feel Devastating Toll in Syrian Civil War http://nbcnews.to/1dKafjI,children feel devastating toll in syrian civil war
1559,Stem Cell Researcher Suggests Recalling His Own Study http://nbcnews.to/1neg4MC,stem cell researcher suggests recalling his own study
1560,Survey: Uninsured Rate Drops; Health Law Cited http://nbcnews.to/N1bjoW,survey uninsured rate drops health lacited
1561,Walmart Meat Blamed for Family's Trip to Hospital http://nbcnews.to/1ekHNSh,walmameat blamed for familys trip to hospital
1562,Dr. Nancy Snyderman: Smiles Amid Tragedy in Refugee Camp http://nbcnews.to/1lOttJR,dr nancy snyderman smiles amid tragedy in refugee camp
1563,Alzheimer's Test 'Potential Game Changer': Doctor http://nbcnews.to/NRI0pG,alzheimers test potential game changer doctor
1564,Supreme Court Staying Out of Breast-Cancer Bracelet Dispute http://nbcnews.to/1oFjhjN,supreme coustaying out of breast cancer bracelet dispute
1565,Dr. Nancy Snyderman: Smiles Amid Tragedy in Refugee Camp http://nbcnews.to/1lNGB1C,dr nancy snyderman smiles amid tragedy in refugee camp
1566,Put Down That Cellphone! Study Finds Parents Distracted by Devices http://nbcnews.to/1fhsmi5,put down that cellphone study finds parents distracted by devices
1567,Should Parents Let Teens Meet Online Friends? http://nbcnews.to/1lMR79p,should parents let teens meet online friends
1568,'Spectacular' Recovery for State Fair Stage Collapse Victim http://nbcnews.to/1oDGcfs,spectacular recovery for state fair stage collapse victim
1569,Blood Test Might Predict Who Will Develop Alzheimer's http://nbcnews.to/1ffFS5Y,blood test might predict who will develop alzheimer s
1570,Airlines Help Traumatized Family Members After Major Disasters http://nbcnews.to/1fVcv44,airlines help traumatized family members after major disasters
1571,30 Days to a Better You: Jenna gives her workout a makeover http://on.today.com/1n5TBRQ,number days to a better you jenna gives her workout a makeover
1572,Obamacare Supporters Beat the Bushes for Final Sign-Ups http://nbcnews.to/1imo6Rs,obamacare supporters beat the bushes for final sign ups
1573,This Woman Hasn't Washed Her Face with Soap in a Year http://nbcnews.to/1lG3Omw,this woman has not washed her face with soap in a year
1574,New York City Investigates Measles Outbreak http://nbcnews.to/1eanC9A,neyork city investigates measles outbreak
1575,"Why Couldn't Minivan Mom Be Stopped? No Law Against 'Crazy,' Experts Say http://nbcnews.to/O2G7GJ",why could not minivan mom be stopped no laagainst crazy experts say
1576,Why Would a Mom Do That? How to Explain Mental Illness to Kids http://nbcnews.to/O2G7GA,why would a mom do that hoto explain mental illness to kids
1577,Daylight Saving Time: 3 Tips for Parents http://nbcnews.to/1lFyh3V,daylight saving time number tips for parents
1578,Man Loses 56 Pounds After Eating Only McDonald's For Six Months http://nbcnews.to/1lFvNTk,man loses number pounds after eating only mcdonalds for six months
1579,Man loses 56 pounds after eating only McDonald's for six months http://on.today.com/1g5NyHy,man loses number pounds after eating only mcdonalds for six months
1580,"After Huge Weight Loss, Sagging Skin Remains http://nbcnews.to/1fPksI5",after huge weight loss sagging skin remains
1581,"Surgeon Frank Jobe, Savior of Major League Pitchers, Dies at 88 http://nbcnews.to/1nmp1jx",surgeon frank jobe savior of major league pitchers dies at number
1582,Doctor Who Saved Major League Pitching Dies http://nbcnews.to/1ow41We,doctor who saved major league pitching dies
1583,"Why Couldn't Minivan Mom Be Stopped? No Law Against 'Crazy,' Experts Say http://nbcnews.to/NDI64l",why could not minivan mom be stopped no laagainst crazy experts say
1584,"Sorry, Pharrell. Music Doesn't Make Everyone Happy, Study Shows http://nbcnews.to/1ow41FY",sorry pharrell music does not make everyone happy study shows
1585,Daily Shower Bad for Your Skin? 'Soak and Smear' Instead http://nbcnews.to/NDI64a,daily shower bad for your skin soak and smear instead
1586,Why Would a Mom Do That? How to Explain Mental Illness to Kids http://nbcnews.to/1jWMTJp,why would a mom do that hoto explain mental illness to kids
1587,"19 Americans Infected During Plastic Surgery Trips, Report Finds http://nbcnews.to/NYEUQK",number americans infected during plastic surgery trips repofinds
1588,Baby Harper Welcomes Home Soldier Dad From Deployment http://nbcnews.to/NYEUAa,baby harper welcomes home soldier dad from deployment
1589,Daily Shower Bad for Your Skin? Try the 'Soak and Smear' http://nbcnews.to/1f2HEXM,daily shower bad for your skin try the soak and smear
1590,Mandatory Flu Shots Kept Small Kids Out of Hospitals http://nbcnews.to/1f2HEHo,mandatory flu shots kept small kids out of hospitals
1591,"Childless Couple Welcomes Triplets, Twins in Less Than a Year http://nbcnews.to/1ifyhan",childless couple welcomes triplets twins in less than a year
1592,"Meet Lammily, the Crowd-Funded 'Realistic' Alternative to Barbie http://nbcnews.to/NXy51A",meet lammily the crowd funded realistic alternative to barbie
1593,'Breast Self-Awareness': More Blame For Women? http://nbcnews.to/NXy4uL,breast self awareness more blame for women
1594,"'Reluctant Father': I Didn't Love My Baby, At First http://nbcnews.to/1hNCJdX",reluctant father i did not love my baby at first
1595,Debunked: Cheeseburger as bad as smoking http://on.today.com/1cCNg6F,debunked cheeseburger as bad as smoking
1596,Two Reports Point to Possible Future AIDS 'Cure' http://nbcnews.to/1cCNivf,two reports point to possible future aids cure
1597,Debunked: Cheeseburger as bad as smoking http://nbcnews.to/1cCNiv3,debunked cheeseburger as bad as smoking
1598,"Toy Chests and Trunks Pose Hazard to Kids, CPSC Says http://nbcnews.to/1cas8tk",toy chests and trunks pose hazard to kids cpsc says
1599,Feds Offer Two-Year Obamacare Delay for Some http://nbcnews.to/1cas5xO,feds offer two year obamacare delay for some
1600,"Alzheimer's Deaths May Rival Cancer, Heart Disease, Study Finds http://nbcnews.to/1f8RiDQ",alzheimers deaths may rival cancer headisease study finds
1601,"Sticky, Smelly or Slimy? Food Safety Rules You Shouldn't Ignore http://nbcnews.to/1ca2Tri",sticky smelly or slimy food safety rules you should not ignore
1602,"5 Percent of Calories Should Be From Sugar, WHO Says http://nbcnews.to/1jS6aM0",number percent of calories should be from sugar who says
1603,Teen with MS Becomes Record-breaking Running Star http://nbcnews.to/1kyLPhF,teen with ms becomes record breaking running star
